"Exportation";"Valeur en euros";"Italie";23630;261845;101578;83899;126315;89629;91327;89181;79748;137031;89501;90869;113634
"Exportation";"Valeur en euros";"Argentine";168296;47500;136500;9286;195977;136450;56449;92925;45500;62855;6145;136500;105426
"Exportation";"Valeur en euros";"Belgique";44715;87794;48278;102758;11350;167620;108847;66816;85199;45022;7635;123682;93463
"Exportation";"Valeur en euros";"Thaïlande";65164;144435;0;102114;111178;0;43991;0;0;127236;2292;88189;91000
"Exportation";"Valeur en euros";"Turquie";28253;73795;59591;62087;49241;98387;9700;83388;13100;122864;75605;1178;89577
"Exportation";"Valeur en euros";"Emirats Arabes Unis";55285;0;0;12860;58494;27504;55655;38095;0;16719;0;21659;84860
"Exportation";"Valeur en euros";"Taïwan";0;0;9242;0;24581;0;0;0;6367;12641;0;6561;76200
"Exportation";"Valeur en euros";"Brésil";110675;31265;128888;213754;26538;52240;70270;16189;54118;94262;35788;50408;69589
"Exportation";"Valeur en euros";"Autriche";104372;98848;138971;118466;111020;110677;98080;111720;72011;100698;160687;2822;62240
"Exportation";"Valeur en euros";"Bangladesh";138249;79;90406;57585;2355;0;118363;3316;0;60297;64861;6402;60660
"Exportation";"Valeur en euros";"Ouganda";0;0;0;0;0;0;59500;0;0;0;0;0;59500
"Exportation";"Valeur en euros";"Malaysie";18372;27228;0;0;38322;19790;6724;0;19532;33732;57696;0;52768
"Exportation";"Valeur en euros";"Mexique";182928;39026;97690;0;57130;87736;0;133556;161091;189205;117343;24666;50541
"Exportation";"Valeur en euros";"Pays-Bas";49402;46054;73910;97531;34979;60366;37554;56542;29143;47709;61658;29444;48086
"Exportation";"Valeur en euros";"Afrique du Sud";77353;196063;80787;56321;2302;18695;15273;9264;19463;23860;0;66489;45921
"Exportation";"Valeur en euros";"Danemark";892468;383430;876001;517175;479789;148284;435930;78855;207546;482739;446698;0;43273
"Exportation";"Valeur en euros";"Vietnam";0;106048;71091;8501;100188;0;0;49935;58800;119835;48175;89175;39638
"Exportation";"Valeur en euros";"Luxembourg";62240;97;93414;31722;0;62438;31285;189;101217;46746;33918;34047;34168
"Exportation";"Valeur en euros";"Egypte";0;192462;0;240906;38878;947;211600;25880;59625;0;36606;0;33043
"Exportation";"Valeur en euros";"Bulgarie";22512;52551;36563;17546;37899;22761;34763;6657;18510;47826;1873;26983;28660
