"39129090 - Cellulose et ses dérivés chimiques, n.d.a., sous formes primaires (à l'excl. des acétates, nitrates, éthers et esters de cellulose)"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Exportation";"Valeur en euros";"Uruguay";0;0;0;0;0;0;0;0;0;0;0;112;0
"Exportation";"Valeur en euros";"Vietnam";0;647;0;0;603;0;0;0;0;2032;0;0;0
"Exportation";"Valeur en euros";"Serbie";199219;0;16;1288;0;0;0;284705;0;0;0;0;0
"Exportation";"Valeur en euros";"Afrique du Sud";159;0;0;0;0;0;0;0;0;0;302;590;0
"Exportation";"Masse en kilogramme";"Total";88341;67606;50755;98526;82964;53371;79965;128128;51900;130960;116021;109687;62597
"Exportation";"Masse en kilogramme";"Espagne";830;5071;4101;22692;7619;6075;17318;48159;872;20065;8877;15944;15673
"Exportation";"Masse en kilogramme";"Turquie";6009;2686;9635;0;8820;20925;400;18205;25;36025;4200;8860;10080
"Exportation";"Masse en kilogramme";"Italie";2775;3150;7160;8845;6934;5921;3143;9687;717;3445;11558;4171;7344
"Exportation";"Masse en kilogramme";"Algérie";475;11040;3840;208;280;12660;6935;9600;0;11380;31;7480;6685
"Exportation";"Masse en kilogramme";"Pays-Bas";16996;10095;0;40;30;0;1060;55;2135;20;3396;20;6174
"Exportation";"Masse en kilogramme";"Belgique";19025;3031;10981;39563;41600;3605;9216;19000;8705;21005;30075;46407;6150
"Exportation";"Masse en kilogramme";"Portugal";5475;21;1581;1464;3735;21;4181;3592;8385;4266;2302;1807;2813
"Exportation";"Masse en kilogramme";"Emirats Arabes Unis";0;0;0;0;0;0;4;200;0;0;0;0;2100
"Exportation";"Masse en kilogramme";"Irlande";0;0;3;0;4900;0;0;0;100;0;500;100;1300
"Exportation";"Masse en kilogramme";"Japon";6;0;0;0;10;0;85;747;0;23;10;0;1295
"Exportation";"Masse en kilogramme";"Grèce";0;300;0;300;80;0;0;167;240;20;280;370;880
"Exportation";"Masse en kilogramme";"Royaume-Uni";974;442;462;1085;206;660;690;750;547;1000;253;650;460
"Exportation";"Masse en kilogramme";"Colombie";0;420;460;0;524;20;0;0;500;168;0;0;365
