"29054300 - Mannitol"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Exportation";"Masse en kilogramme";"Arabie Saoudite";0;0;0;0;40950;0;0;0;0;0;20000;0;0
"Exportation";"Masse en kilogramme";"Roumanie";0;0;0;21975;0;0;1;0;0;0;22032;0;0
"Exportation";"Masse en kilogramme";"Portugal";0;0;16;8;3;103;27;1007;50;18;10;6;0
"Exportation";"Masse en kilogramme";"Vietnam";64750;5900;2000;12650;10250;3600;2925;24800;10980;15900;13000;0;0
"Exportation";"Masse en kilogramme";"Serbie";7800;43400;6950;9100;17300;0;20000;900;22550;0;1200;14900;0
"Exportation";"Masse en kilogramme";"Emirats Arabes Unis";0;6000;0;3000;0;0;4000;1500;0;0;3000;0;0
"Exportation";"Masse en kilogramme";"Uruguay";0;0;0;5;0;0;0;0;0;10;0;0;0
"Exportation";"Masse en kilogramme";"Malaysie";13000;0;0;0;10900;0;0;0;2975;4450;10700;0;0
"Exportation";"Masse en kilogramme";"Maroc";0;0;950;0;0;0;0;0;0;0;1;1905;0
"Exportation";"Masse en kilogramme";"Lettonie";38;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Koweit";0;0;0;0;0;12;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Panama";3900;0;0;0;0;0;0;7800;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Norvège (yc Svalbard)";6;0;0;10000;0;0;0;0;10009;0;0;10000;0
"Exportation";"Masse en kilogramme";"Pakistan";0;0;0;0;0;1000;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Philippines";0;18000;0;20000;0;0;20000;0;20000;0;0;0;0
"Exportation";"Masse en kilogramme";"Pérou";0;0;0;7600;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Estonie";0;0;0;0;0;0;71;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Algérie";450;142;425;2550;0;3000;3154;600;0;8093;0;0;0
"Exportation";"Masse en kilogramme";"Hong-Kong";20000;0;0;0;0;0;450;0;40;360;0;0;0
"Exportation";"Masse en kilogramme";"Hongrie";0;9900;20000;9900;2000;9900;0;0;5000;10300;2000;29900;0
"Exportation";"Masse en kilogramme";"Croatie";0;4800;2525;0;900;2400;0;5550;0;0;5400;900;0
"Exportation";"Masse en kilogramme";"Suisse";5006;5411;8163;15050;1000;0;19600;8760;12200;9360;5;1259;0
"Exportation";"Masse en kilogramme";"Colombie";0;0;0;0;800;5000;400;0;800;5000;0;1325;0
"Exportation";"Masse en kilogramme";"Chypre";0;14;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Bulgarie";0;3;0;450;0;3450;450;6825;0;5800;0;3009;0
"Importation";"Valeur en euros";"Total";1175377;1621829;1317069;336425;750581;1714973;1345798;1627562;1105349;846730;1618443;988476;816461
"Importation";"Valeur en euros";"Etats-Unis d Amérique";961;145771;1070;55402;2187;1905;782;22451;74;47;128478;156237;576799
"Importation";"Valeur en euros";"Italie";173120;8828;329400;88280;101773;88944;88944;143155;356273;19;88944;497245;218648
"Importation";"Valeur en euros";"Allemagne";31553;23067;112670;12048;1914;15580;4560;18343;39562;44915;541;23905;10050
"Importation";"Valeur en euros";"Retour France";161538;5564;5971;15299;111083;522;461;134;20488;711;2129;83022;3788
"Importation";"Valeur en euros";"Irlande";0;0;0;0;0;0;0;2234;10030;0;0;0;2234
"Importation";"Valeur en euros";"Espagne";1093;0;1133;51;725;154;0;499;499;2266;3238;4375;1990
"Importation";"Valeur en euros";"Belgique";191003;107265;99286;148670;93042;186317;53957;12123;52896;216970;144716;200122;1423
"Importation";"Valeur en euros";"Pays non classifiés ailleurs";3858;5004;5650;1233;3569;7248;38762;4438;468;3717;2386;3048;1198
"Importation";"Valeur en euros";"Royaume-Uni";0;0;73;19;0;0;0;0;0;0;0;0;216
"Importation";"Valeur en euros";"Inde";0;0;0;105;26;0;0;26;0;79;0;0;79
"Importation";"Valeur en euros";"Chine";583233;1312983;760685;1250;405454;1393165;1143998;1411843;617627;531317;1217708;111;36
"Importation";"Valeur en euros";"Canada";0;0;0;0;0;0;0;55;0;0;0;0;0
"Importation";"Valeur en euros";"Suisse";8;0;0;0;0;0;0;0;0;11;0;0;0
"Importation";"Valeur en euros";"Autriche";0;0;0;0;0;0;0;0;0;1224;0;0;0
"Importation";"Valeur en euros";"République tchèque";0;0;253;0;0;0;0;0;0;0;0;18616;0
"Importation";"Valeur en euros";"Grèce";0;1800;0;0;0;0;0;0;0;0;0;0;0
"Importation";"Valeur en euros";"Japon";0;229;229;0;0;0;188;214;0;0;0;0;0
"Importation";"Valeur en euros";"Pays-Bas";29010;11318;649;14068;30808;21138;13405;12047;7432;45234;5083;1795;0
"Importation";"Valeur en euros";"Pologne";0;0;0;0;0;0;741;0;0;220;220;0;0
"Importation";"Valeur en euros";"Roumanie";0;0;0;0;0;0;0;0;0;0;25000;0;0
"Importation";"Masse en kilogramme";"Total";240505;351729;277009;45674;163988;421165;327987;356523;251270;207086;368239;167838;97847
"Importation";"Masse en kilogramme";"Etats-Unis d Amérique";120;15600;124;2167;114;5;3;2004;9;0;14364;9345;49313
"Importation";"Masse en kilogramme";"Italie";40000;2000;72000;20000;19975;20000;20000;30001;75008;1;20000;108000;48000
"Importation";"Masse en kilogramme";"Retour France";18117;435;425;3028;22048;65;58;17;1163;90;269;7368;152
"Importation";"Masse en kilogramme";"Espagne";75;0;75;6;48;19;0;33;33;150;91;302;136
"Importation";"Masse en kilogramme";"Allemagne";1851;1514;5476;620;150;2272;124;569;2665;1647;68;1620;116
"Importation";"Masse en kilogramme";"Belgique";37115;18873;18589;18614;18120;36139;10095;2160;10012;42029;28031;38985;88
"Importation";"Masse en kilogramme";"Royaume-Uni";0;0;1;0;0;0;0;0;0;0;0;0;27
"Importation";"Masse en kilogramme";"Inde";0;0;0;13;3;0;0;3;0;10;0;0;10
"Importation";"Masse en kilogramme";"Chine";140000;312049;180155;126;100035;360111;292086;320151;160050;160001;300080;14;3
"Importation";"Masse en kilogramme";"Irlande";0;0;0;0;0;0;0;1;2000;0;0;0;1
"Importation";"Masse en kilogramme";"Pays non classifiés ailleurs";227;33;28;0;20;29;4004;358;10;25;8;4;1
"Importation";"Masse en kilogramme";"Pologne";0;0;0;0;0;0;93;0;0;28;28;0;0
"Importation";"Masse en kilogramme";"Pays-Bas";3000;1001;80;1100;3475;2525;1500;1201;320;2950;300;200;0
"Importation";"Masse en kilogramme";"Japon";0;24;24;0;0;0;24;24;0;0;0;0;0
"Importation";"Masse en kilogramme";"Grèce";0;200;0;0;0;0;0;0;0;0;0;0;0
"Importation";"Masse en kilogramme";"République tchèque";0;0;32;0;0;0;0;0;0;0;0;2000;0
"Importation";"Masse en kilogramme";"Canada";0;0;0;0;0;0;0;1;0;0;0;0;0
"Importation";"Masse en kilogramme";"Autriche";0;0;0;0;0;0;0;0;0;155;0;0;0
"Importation";"Masse en kilogramme";"Roumanie";0;0;0;0;0;0;0;0;0;0;5000;0;0
"Fin de fichier"
