"Exportation";"Valeur en euros";"Royaume-Uni";108842;302425;215813;178144;257373;42220;84344;63330;100484;304950;99827;63704;70000
"Exportation";"Valeur en euros";"Tunisie";8679;1995;0;9350;0;10150;0;0;0;0;66759;29453;59500
"Exportation";"Valeur en euros";"Bangladesh";0;237;0;16772;0;0;104085;99577;47842;0;0;0;49163
"Exportation";"Valeur en euros";"Algérie";223432;162050;308103;263557;52426;46776;29961;39625;53065;78159;31655;4870;42714
"Exportation";"Valeur en euros";"Arabie Saoudite";19334;19329;19078;0;19124;665;0;665;37594;40095;0;40090;40089
"Exportation";"Valeur en euros";"Roumanie";32661;0;0;43422;39447;0;44400;0;44400;0;0;79952;37400
"Exportation";"Valeur en euros";"Canada";0;0;0;0;0;0;1;36540;0;0;0;0;35682
"Exportation";"Valeur en euros";"Egypte";0;57345;7073;19312;78759;112229;27709;86812;28980;0;122711;39491;31010
"Exportation";"Valeur en euros";"Ouganda";0;0;0;0;18350;0;18350;0;79;0;0;0;30000
"Exportation";"Valeur en euros";"Grèce";0;24965;19520;0;0;0;4800;0;0;48730;0;0;20827
"Exportation";"Valeur en euros";"Cameroun";0;0;8637;13728;29372;5650;10400;0;13590;0;19912;0;19024
"Exportation";"Valeur en euros";"Kenya";0;33980;0;35100;47150;18150;0;36200;18300;0;18300;54100;18300
"Exportation";"Valeur en euros";"Argentine";0;99743;158;20160;84794;97380;125097;61516;90327;0;149196;92085;17851
"Exportation";"Valeur en euros";"Japon";16442;0;0;0;56171;0;0;0;40000;40000;0;0;16436
"Exportation";"Valeur en euros";"Croatie";0;15200;0;0;22040;0;0;0;22800;0;0;0;15048
"Exportation";"Valeur en euros";"Hongrie";8033;3365;3601;6730;6520;0;4620;4174;6956;5565;4253;5670;9923
"Exportation";"Valeur en euros";"Pologne";7560;9216;7145;36964;63677;102002;31036;8525;8088;9114;26146;3520;7696
"Exportation";"Valeur en euros";"Suède";1044;903;7;0;730;6533;900;0;0;0;0;0;4830
"Exportation";"Valeur en euros";"Luxembourg";1739;1631;1623;1438;1519;1476;1211;2009;1167;1603;1813;1720;1807
"Exportation";"Valeur en euros";"Suisse";0;1562;305;205;0;0;0;2056;0;0;31;0;911
